loss,mae,val_loss,val_mae,learning_rate
0.9656264185905457,0.40469425916671753,0.00021230673883110285,0.012270362116396427,0.0010000000474974513
0.915385365486145,0.3836456835269928,0.0001935543114086613,0.01185703370720148,0.0010000000474974513
0.8839862942695618,0.37233883142471313,0.00022938531765248626,0.012635947205126286,0.0010000000474974513
0.8658550977706909,0.3650280237197876,0.00017908687004819512,0.011385533958673477,0.0010000000474974513
0.8500151634216309,0.3595733642578125,0.00016516509640496224,0.011079618707299232,0.0010000000474974513
0.8211694955825806,0.35082316398620605,0.00018997793085873127,0.011784529313445091,0.0005000000237487257
0.8075823783874512,0.3472135663032532,0.0002471913176123053,0.013002612628042698,0.0005000000237487257
0.7943881154060364,0.34381648898124695,0.0002932790666818619,0.013985561206936836,0.0005000000237487257
0.7814918756484985,0.34040987491607666,0.00033348079887218773,0.014887391589581966,0.0005000000237487257
0.7695986032485962,0.3368791341781616,0.0003629316051956266,0.015554487705230713,0.0005000000237487257
