model,MAE,RMSE,R2
LSTM,4.936599288722095,4.936942883172147,-7197.689250266132
CNN,114.20930721966792,114.20933099625267,-3852479.029840784
Transformer,5.969253679198054,5.9695372763358465,-10523.914049608153
