model,MAE,RMSE,R2
LinearRegression,0.14227249509744,0.15552340313912857,-6.13269159759231
Ridge,0.1423012426020584,0.1555476282572799,-6.134913819464382
Lasso,0.10581978301578426,0.12079596729412453,-3.3029551205492584
SVR,0.05628895315698903,0.06757962958775902,-0.3467703879859896
RandomForest,0.05043235004210194,0.058538041337188144,-0.010504655620939385
Naive,0.06793249229833546,0.08294608628668161,-1.0288677698673525
