model,MAE,RMSE,R2
LinearRegression,0.16598302438561743,0.1770083012738731,-8.23951581601677
Ridge,0.16601265250557687,0.1770353388397081,-8.242338656466483
Lasso,0.09627327072890196,0.11240216020937333,-2.725728984429813
SVR,0.052105120250167086,0.061375938419219345,-0.1108572034086881
RandomForest,0.05081061984623379,0.05879414015743136,-0.0193657358341095
Naive,0.06644222651728551,0.08138905876923205,-0.9534126548931714
