City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Police Lines, Jind, India",86,86.0,62.0,6.0,4.0,6.0,15.6,29.307814,76.337619,2024-05-01 10:00:00
"Rishi Nagar, Kaithal, India",91,90.0,91.0,3.6,9.0,14.5,3.2,29.8006,76.4155,2024-05-01 10:00:00
"Sector-12, Karnal, India",68,68.0,56.0,13.8,2.8,5.2,3.8,29.6953,77.0027,2024-05-01 10:00:00
"MD University, Rohtak, Rohtak, India",223,223.0,,11.2,7.1,2.8,9.9,28.870083,76.6205,2020-01-13 04:00:00
"F-Block, Sirsa, India",122,122.0,68.0,40.4,3.5,1.8,10.7,29.5364,75.0158,2024-05-01 10:00:00
"Murthal, Sonipat, India",64,58.0,64.0,8.2,13.8,5.4,2.1,29.0272,77.0621,2024-05-01 09:00:00
"Mangala, Bilaspur, India",133,133.0,61.0,,4.7,8.8,6.0,22.08815,82.13737,2024-05-01 10:00:00
"Unna-Königsborn, Germany",75,75.0,,5.7,8.7,,,51.547479,7.693785,2024-05-01 04:00:00
"Rajbagh, Srinagar, India",58,58.0,41.0,5.6,4.6,4.8,4.0,34.066206,74.81982,2024-03-04 09:00:00
"Tata Stadium, Jorapokhar, India",-,,,14.1,6.1,14.0,4.7,23.707909,86.41467,2024-04-30 18:00:00
"Hombegowda Nagar, Bengaluru, India",83,83.0,57.0,,4.2,1.6,4.3,12.938539,77.5901,2024-05-01 10:00:00
"Ramteerth Nagar, Belgaum, India",60,60.0,51.0,8.0,1.7,3.4,10.1,15.888653,74.541751,2024-05-01 09:00:00
"Kalyana Nagara, Chikkamagaluru, India",71,71.0,41.0,18.4,9.5,1.0,2.0,13.328028,75.797056,2024-05-01 10:00:00
"Devaraj Urs Badavane, Davanagere, India",70,78.0,70.0,,,,,14.4758,75.9052,2024-05-01 10:00:00
"B.Katihalli, Hassan, India",112,112.0,66.0,1.5,4.5,10.7,4.9,13.008556,76.125258,2024-04-30 22:00:00
"Lal Bahadur Shastri Nagar, Kalaburagi, India",153,153.0,79.0,20.1,4.6,10.2,8.1,17.321993,76.822628,2024-05-01 10:00:00
"Tamaka Ind. Area, Kolar, India",106,106.0,73.0,5.7,9.0,3.5,1.0,13.1276288,78.1570122,2024-05-01 08:00:00
"Stuart Hill, Madikeri, India",74,74.0,45.0,13.2,0.8,1.7,10.3,12.415911,75.73505,2024-05-01 10:00:00
"Kadri, Mangalore, India",121,121.0,56.0,12.5,2.1,6.9,6.4,12.88925,74.853,2024-05-01 09:00:00
"Haji Colony, Raichur, India",61,61.0,59.0,1.9,17.9,41.3,20.6,16.208139,77.348417,2024-04-30 13:00:00
"Vinoba Nagara, Shivamogga, India",75,75.0,55.0,26.8,4.7,2.4,3.5,13.94,75.555917,2024-05-01 10:00:00
"Ibrahimpur, Vijayapura, India",64,64.0,39.0,6.2,6.9,157.2,17.4,16.802639,75.722694,2024-05-01 10:00:00
"Thavakkara, Kannur, India",131,131.0,57.0,13.7,2.2,0.2,6.5,11.875,75.3732,2024-05-01 10:00:00
"Kera, Kochi, Kochi Prefecture, Japan (介良高知市)",17,17.0,3.0,25.6,2.8,1.5,,33.5489621,133.5987948,2024-05-01 12:00:00
"Polayathode, Kollam, India",134,134.0,59.0,14.3,3.1,1.2,2.8,8.8787,76.6073,2024-04-30 18:00:00
"Plammoodu, Thiruvananthapuram, India",27,27.0,17.0,3.9,3.3,5.1,4.8,8.5149093,76.9435879,2024-05-01 09:00:00
"Corporation Ground, Thrissur, India",88,88.0,56.0,12.5,2.7,0.1,2.5,10.5324,76.2159,2024-05-01 10:00:00
"Rue  Lafaurie (coté Montant), Le Havre, France",17,17.0,12.0,,4.6,,,49.5001917595947,0.110902803971606,2024-05-01 05:00:00
"T T Nagar, Bhopal, India",85,75.0,85.0,35.9,3.4,8.7,3.4,23.233584,77.400574,2024-05-01 10:00:00
"Shrivastav Colony, Damoh, India",50,50.0,36.0,,2.4,,4.4,23.81748678,79.446246,2024-01-22 16:00:00
"Bhopal Chauraha, Dewas, India",76,76.0,44.0,20.3,4.6,22.8,2.6,22.9682591,76.064118,2024-05-01 10:00:00
"Phool Bagh, Gwalior, India",162,162.0,81.0,,1.7,9.9,13.2,26.210536,78.171,2024-05-01 09:00:00
"Marhatal, Jabalpur, India",107,107.0,99.0,31.7,6.5,7.5,1.5,23.168606,79.932247,2024-05-01 10:00:00
"Shasthri Nagar, Ratlam, India",104,90.0,104.0,,6.3,15.4,,23.331731,75.045981,2024-05-01 10:00:00
"Deen Dayal Nagar, Sagar, India",86,86.0,53.0,,8.7,4.7,9.9,23.8640158,78.80289321,2024-05-01 10:00:00
"Bandhavgar Colony, Satna, India",53,20.0,53.0,8.5,15.8,1.9,4.1,24.58434363,80.8549414,2024-05-01 10:00:00
"Mahakaleshwar Temple, Ujjain, India",76,64.0,76.0,54.6,41.2,5.2,6.1,23.182719,75.768218,2024-05-01 10:00:00
"Gurdeo Nagar, Aurangabad, India",157,157.0,67.0,29.2,1.8,0.3,1.7,24.75746,84.366208,2024-05-01 09:00:00
"MIDC Khutala, Chandrapur, India",174,143.0,174.0,0.6,17.3,9.2,13.0,19.9775302,79.2337086,2024-04-25 22:00:00
"Malayer, Hamadan, Iran (ملایر همدان)",57,57.0,57.0,,38.0,6.0,10.0,34.2875011,48.787992,2024-05-01 08:00:00
"Khadakpada, Kalyan, India",96,76.0,96.0,6.3,12.6,12.2,3.6,19.25292,73.142019,2024-05-01 10:00:00
"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",109,109.0,,,,,,19.072830200195,72.882606506348,2024-04-29 15:00:00
"Opp GPO Civil Lines, Nagpur, India",105,105.0,69.0,27.1,6.1,2.9,2.9,21.152875,79.0517531,2024-05-01 10:00:00
"Gangapur Road, Nashik, India",116,116.0,73.0,16.8,9.1,2.8,10.8,20.0073285,73.7762427,2024-05-01 10:00:00
"Shivajinagar, Pune, Pune, India",232,232.0,138.0,61.0,198.0,,51.0,18.529603,73.849586,2021-11-15 06:00:00
"Solapur, Solapur, India",103,103.0,88.0,,20.0,45.0,,17.6599188,75.9063906,2024-05-01 09:00:00
"Pimpleshwar Mandir, Dombivali, Thane, India",103,,103.0,23.5,11.7,58.5,8.7,19.192056,72.9585188,2024-04-30 13:00:00
"Khadakpada, Kalyan, India",96,76.0,96.0,6.3,12.6,12.2,3.6,19.25292,73.142019,2024-05-01 10:00:00
"DM College of Science, Imphal, India",59,59.0,18.0,8.5,2.7,40.1,1.3,24.8207389,93.9423085,2024-05-01 10:00:00
"Lumpyngngad, Shillong, India",117,117.0,57.0,3.4,0.5,16.2,1.9,25.5586,91.8985,2024-05-01 10:00:00
"Sikulpuikawn, Aizawl, India",70,70.0,49.0,0.5,0.5,1.1,2.2,23.7176342,92.7192841,2024-05-01 10:00:00
"PWD Juction, Kohima, India",159,159.0,79.0,7.1,1.3,13.7,2.2,25.6635413,94.0989878,2024-05-01 08:00:00
"Mons, Belgium",46,46.0,19.0,,,,,50.4651921586212,3.93971432591091,2024-05-01 06:00:00
"Jawahar Nagar, Puducherry, India",33,21.0,33.0,2.2,3.0,3.3,4.7,11.9309,79.8027,2024-05-01 09:00:00
"Jawahar Nagar, Puducherry, India",33,21.0,33.0,2.2,3.0,3.3,4.7,11.9309,79.8027,2024-05-01 09:00:00
"Golden Temple, Amritsar, India",84,84.0,42.0,22.3,9.2,9.0,8.0,31.62,74.876512,2024-05-01 09:00:00
"Sector 22, Chandigarh, India",80,80.0,60.0,47.5,6.5,5.3,5.3,30.735567,76.775714,2024-05-01 10:00:00
"Civil Line, Jalandhar, India",97,97.0,57.0,12.1,14.5,3.6,4.3,31.321907,75.578914,2024-05-01 10:00:00
"Punjab Agricultural University, Ludhiana, India",103,103.0,56.0,12.7,4.6,3.9,3.3,30.9028,75.8086,2024-05-01 09:00:00
"Model Town, Patiala, India",93,93.0,58.0,16.3,8.8,7.1,4.2,30.349388,76.366642,2024-05-01 10:00:00
"Ratanpura, Rupnagar, India",155,155.0,77.0,,,4.9,4.9,31.0325454,76.5623046,2024-05-01 09:00:00
"Civil Lines, Ajmer, India",153,153.0,111.0,36.5,4.1,4.9,4.8,26.470859,74.646594,2024-05-01 09:00:00
"Moti Doongri, Alwar, India",154,154.0,96.0,8.8,14.5,7.3,6.4,27.554793,76.611536,2024-05-01 10:00:00
"Tulle centre, France",10,,10.0,6.5,2.3,,,45.262666665757,1.76283333333,2024-05-01 05:00:00
"Police Commissionerate, Jaipur, India",171,162.0,171.0,45.1,8.5,5.1,6.1,26.9164092,75.7994901,2024-05-01 10:00:00
"Collectorate, Jodhpur, India",154,154.0,94.0,37.3,2.9,5.2,6.7,26.268249,73.0193853,2024-05-01 10:00:00
"Shrinath Puram, Kota, India",164,164.0,129.0,24.3,15.6,12.7,7.4,25.14389,75.821256,2024-05-01 10:00:00
