City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Doon University, Dehradun, India",82,82.0,57.0,58.0,0.3,1.4,2.2,30.269444,78.044167,2024-04-24 18:00:00
"Flag Pole, Woodstock School, Mussoorie, India, India",-,,,,,,,30.455449,78.100618,
"Asansol Court Area, Asansol, India",169,169.0,81.0,13.2,13.3,4.7,7.1,23.685297,86.945968,2024-04-24 18:00:00
"Ghusuri, Howrah, India",163,155.0,67.0,163.2,5.6,1.7,0.1,22.611968,88.347422,2024-04-24 18:00:00
"Rabindra Bharati University, Kolkata, India",88,88.0,49.0,39.0,12.7,2.0,5.9,22.627847,88.380669,2024-04-24 18:00:00
"Bidhannagar, Kolkata, India",97,97.0,54.0,31.0,15.3,15.1,6.4,22.58157048,88.41002457,2024-04-24 18:00:00
"Sidhu Kanhu Indoor Stadium, Durgapur, India",144,140.0,80.0,144.3,14.2,1.5,6.9,23.5404352,87.2892225,2024-04-24 18:00:00
"Victoria, Kolkata, India",109,109.0,60.0,32.1,7.9,11.1,14.2,22.5448082,88.3403691,2024-04-24 18:00:00
"Rabindra Bharati University, Kolkata, India",88,88.0,49.0,39.0,12.7,2.0,5.9,22.627847,88.380669,2024-04-24 18:00:00
"Kolkata US Consulate, India (कोलकाता अमेरिकी वाणिज्य दूतावास)",117,117.0,,,,,,22.562629699707,88.363037109375,2024-04-24 18:00:00
"Rabindra Bharati University, Kolkata, India",88,88.0,49.0,39.0,12.7,2.0,5.9,22.627847,88.380669,2024-04-24 18:00:00
"Ward-32 Bapupara, Siliguri, India",110,110.0,92.0,28.3,10.1,3.5,4.6,26.6883049,88.412668,2024-04-24 18:00:00
"Gulzarpet, Anantapur, India",93,93.0,66.0,18.7,9.9,2.8,2.7,14.675886,77.593027,2024-04-22 14:00:00
"Anand Kala Kshetram, Rajamahendravaram, India",65,65.0,49.0,10.3,6.3,4.7,4.9,16.9872867,81.7363176,2024-04-22 17:00:00
"Tirumala-APPCB, Tirupati, India",74,74.0,49.0,26.1,9.3,5.1,5.5,13.67,79.35,2024-04-22 17:00:00
"PWD Grounds, Vijayawada, India",-,52.0,,5.1,0.7,4.9,4.2,16.507014,80.627767,2020-11-19 16:00:00
"Naharlagun, Naharlagun, India",61,61.0,25.0,1.0,1.1,1.6,2.3,27.103358,93.679645,2024-04-22 17:00:00
"Pan Bazaar, Guwahati, India",41,41.0,26.0,7.1,0.2,15.9,4.3,26.1875,91.744194,2024-04-18 07:00:00
"D M Colony, Bihar Sharif, India",72,72.0,49.0,12.2,3.3,4.7,9.2,25.204762,85.51496,2024-04-22 17:00:00
"New DM Office, Arrah, India",85,85.0,75.0,5.8,4.0,5.0,0.5,25.5626095,84.663264,2024-04-22 17:00:00
"DRCC Anandpur, Begusarai, India",262,262.0,152.0,1.6,34.0,6.8,2.1,25.444266,86.140169,2023-12-22 18:00:00
"Kamalnath Nagar, Bettiah, India",161,161.0,94.0,3.9,3.0,9.3,11.3,26.80365,84.51954,2024-04-22 17:00:00
"DM Office_Kachari Chowk, Bhagalpur, India",135,135.0,114.0,18.9,30.5,5.2,11.9,25.251013,86.989001,2024-04-22 17:00:00
"D M Colony, Bihar Sharif, India",72,72.0,49.0,12.2,3.3,4.7,9.2,25.204762,85.51496,2024-04-22 17:00:00
"SFTI Kusdihra, Gaya, India",142,142.0,70.0,13.9,20.9,3.6,4.6,24.762518,84.982348,2024-04-22 17:00:00
"Central Jail, Buxar, India",241,241.0,147.0,8.2,1.6,1.5,6.0,25.555605,83.950942,2022-12-01 17:00:00
"Darshan Nagar, Chhapra, India",142,142.0,79.0,1.8,10.8,2.0,8.0,25.7808257,84.7446768,2024-04-22 17:00:00
"Town Hall - Lal Bagh, Darbhanga, India",192,192.0,170.0,21.6,1.6,10.1,4.8,26.15146,85.89342,2023-01-14 13:00:00
"Collectorate, Gaya, India",148,148.0,,31.3,1.0,7.4,6.1,24.7955,84.9994,2024-04-22 17:00:00
"Industrial Area, Hajipur, India",165,149.0,165.0,32.0,22.8,3.0,6.4,25.697189,85.2459,2024-04-22 17:00:00
"Town Hall, Munger, India",155,155.0,87.0,14.7,2.7,3.8,24.8,25.376776,86.471523,2024-04-22 17:00:00
"Mirchaibari, Katihar, India",95,59.0,95.0,6.2,9.3,6.9,8.6,25.560083,87.553265,2024-04-22 17:00:00
"Gandak Colony, Motihari, India",143,143.0,65.0,33.1,26.5,0.4,1.9,26.63086,84.90051,2024-04-22 17:00:00
"Town Hall, Munger, India",155,155.0,87.0,14.7,2.7,3.8,24.8,25.376776,86.471523,2024-04-22 17:00:00
"Buddha Colony, Muzaffarpur, India",196,196.0,168.0,13.9,18.5,4.2,3.2,26.11442,85.39813,2024-04-22 17:00:00
"IGSC Planetarium Complex, Patna, India",132,132.0,,17.3,4.1,2.1,2.2,25.6103665,85.1327137,2024-04-22 17:00:00
"Police Line, Saharsa, India",99,61.0,99.0,14.3,2.7,6.6,9.8,25.892357,86.590325,2024-04-22 16:00:00
"DM Office_Kasipur, Samastipur, India",144,144.0,86.0,4.4,1.6,3.1,2.9,25.859655,85.77944,2024-04-22 09:00:00
"Chitragupta Nagar, Siwan, India",61,50.0,61.0,47.3,7.2,13.7,35.5,26.2271665,84.3570427,2024-04-22 17:00:00
"Sector 22, Chandigarh, India",90,90.0,55.0,64.1,8.4,2.4,6.3,30.735567,76.775714,2024-04-22 17:00:00
"Sector 22, Chandigarh, India",90,90.0,55.0,64.1,8.4,2.4,6.3,30.735567,76.775714,2024-04-22 17:00:00
"Civic Center, Bhilai, India",42,42.0,51.0,23.7,6.4,4.2,8.8,21.185571,81.343175,2024-04-22 17:00:00
"Mangala, Bilaspur, India",61,61.0,13.0,,6.2,7.0,5.9,22.08815,82.13737,2024-04-22 17:00:00
"Civic Center, Bhilai, India",42,42.0,51.0,23.7,6.4,4.2,8.8,21.185571,81.343175,2024-04-22 17:00:00
"Doon University, Dehradun, India",93,93.0,59.0,53.9,0.3,1.2,1.8,30.269444,78.044167,2024-04-22 17:00:00
"Phase-1 GIDC, Vapi, India",59,59.0,48.0,2.8,2.5,21.0,,20.362421,72.918013,2024-04-22 17:00:00
"Phase-1 GIDC, Vapi, India",59,59.0,48.0,2.8,2.5,21.0,,20.362421,72.918013,2024-04-22 17:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",65,65.0,,,,,,28.63576,77.22445,2024-04-22 16:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",65,65.0,,,,,,28.63576,77.22445,2024-04-22 16:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",65,65.0,,,,,,28.63576,77.22445,2024-04-22 16:00:00
"Maninagar, Ahmedabad, India",66,63.0,66.0,14.6,10.4,20.6,14.3,23.002657,72.591912,2024-04-22 17:00:00
"GIDC, Ankleshwar, India",54,54.0,38.0,11.7,11.9,10.0,3.6,21.613267,73.010555,2024-04-22 17:00:00
"IIPHG Lekawada, Gandhinagar, India",73,73.0,43.0,16.2,9.3,5.6,6.7,23.243639,72.68994,2024-04-22 17:00:00
"13 Lenin street, Oha, Russia (ул.Ленина, д.13)",10,10.0,4.0,5.2,0.7,,4.3,53.58904,142.94797,2022-01-12 05:00:00
"Patti Mehar, Ambala, India",65,65.0,37.0,13.8,1.4,10.4,7.4,30.379589,76.778328,2024-04-22 17:00:00
"H.B. Colony, Bhiwani, India",212,97.0,212.0,6.2,2.7,1.4,4.9,28.806223,76.141105,2024-04-22 16:00:00
"Sector 22, Chandigarh, India",90,90.0,55.0,64.1,8.4,2.4,6.3,30.735567,76.775714,2024-04-22 17:00:00
"Sector16A Faridabad, Faridabad, India",46,46.0,,5.8,3.2,10.1,5.9,28.4088421,77.3099081,2024-04-22 17:00:00
"Urban Estate-II, Hisar, India",61,57.0,61.0,49.9,9.4,2.0,5.8,29.14056,75.744941,2024-04-22 17:00:00
"Police Lines, Jind, India",70,70.0,42.0,7.7,3.6,4.0,0.8,29.307814,76.337619,2024-04-22 17:00:00
"Rishi Nagar, Kaithal, India",72,56.0,72.0,0.6,8.9,63.0,3.3,29.8006,76.4155,2024-04-22 17:00:00
"Sector-12, Karnal, India",95,95.0,53.0,13.7,4.4,5.2,4.8,29.6953,77.0027,2024-04-22 17:00:00
"MD University, Rohtak, Rohtak, India",223,223.0,,11.2,7.1,2.8,9.9,28.870083,76.6205,2020-01-13 04:00:00
"F-Block, Sirsa, India",82,82.0,61.0,41.1,3.8,6.1,11.9,29.5364,75.0158,2024-04-22 17:00:00
"Murthal, Sonipat, India",87,87.0,77.0,14.2,13.8,11.7,2.1,29.0272,77.0621,2024-04-22 17:00:00
"Mangala, Bilaspur, India",61,61.0,13.0,,6.2,7.0,5.9,22.08815,82.13737,2024-04-22 17:00:00
"Unna-Königsborn, Germany",33,25.0,,33.3,2.7,,,51.547479,7.693785,2024-04-22 12:00:00
"Rajbagh, Srinagar, India",58,58.0,41.0,5.6,4.6,4.8,4.0,34.066206,74.81982,2024-03-04 09:00:00
"Tata Stadium, Jorapokhar, India",11,,,10.9,6.2,11.1,4.7,23.707909,86.41467,2024-04-22 14:00:00
"Hombegowda Nagar, Bengaluru, India",57,57.0,35.0,18.9,5.6,1.2,4.7,12.938539,77.5901,2024-04-22 17:00:00
"Ramteerth Nagar, Belgaum, India",54,54.0,61.0,7.9,11.3,3.5,5.5,15.888653,74.541751,2024-04-22 16:00:00
"Kalyana Nagara, Chikkamagaluru, India",54,51.0,26.0,6.0,3.4,54.4,3.7,13.328028,75.797056,2024-04-22 17:00:00
"Devaraj Urs Badavane, Davanagere, India",57,91.0,57.0,,5.4,2.6,,14.4758,75.9052,2024-04-22 17:00:00
"B.Katihalli, Hassan, India",112,112.0,66.0,1.5,3.3,10.7,2.2,13.008556,76.125258,2024-04-22 16:00:00
"Lal Bahadur Shastri Nagar, Kalaburagi, India",74,74.0,45.0,26.2,4.4,7.4,7.7,17.321993,76.822628,2024-04-22 17:00:00
"Tamaka Ind. Area, Kolar, India",90,90.0,64.0,5.7,9.0,7.2,1.0,13.1276288,78.1570122,2024-04-22 17:00:00
"Stuart Hill, Madikeri, India",60,60.0,20.0,13.2,4.4,1.6,15.0,12.415911,75.73505,2024-04-22 17:00:00
"Kadri, Mangalore, India",89,89.0,74.0,12.7,2.1,5.9,6.7,12.88925,74.853,2024-04-22 17:00:00
"Haji Colony, Raichur, India",64,,64.0,,,,,16.208139,77.348417,2024-04-22 17:00:00
"Vinoba Nagara, Shivamogga, India",72,72.0,55.0,29.7,6.8,1.2,0.9,13.94,75.555917,2024-04-22 17:00:00
"Ibrahimpur, Vijayapura, India",217,63.0,39.0,6.2,6.9,216.6,7.8,16.802639,75.722694,2024-04-22 16:00:00
"Thavakkara, Kannur, India",119,119.0,64.0,13.2,2.2,0.6,5.9,11.875,75.3732,2024-04-22 17:00:00
"Kera, Kochi, Kochi Prefecture, Japan (介良高知市)",30,30.0,7.0,40.0,1.9,1.5,,33.5489621,133.5987948,2024-04-22 20:00:00
"Polayathode, Kollam, India",158,158.0,69.0,15.1,3.2,2.3,1.0,8.8787,76.6073,2024-04-22 17:00:00
"Plammoodu, Thiruvananthapuram, India",38,38.0,35.0,4.9,3.4,4.3,4.1,8.5149093,76.9435879,2024-04-22 17:00:00
"Corporation Ground, Thrissur, India",84,84.0,54.0,11.8,3.0,0.1,7.3,10.5324,76.2159,2024-04-22 17:00:00
"Rue  Lafaurie (coté Montant), Le Havre, France",50,50.0,14.0,,9.2,,,49.5001917595947,0.110902803971606,2024-04-22 13:00:00
"T T Nagar, Bhopal, India",82,81.0,82.0,31.7,4.2,10.4,3.8,23.233584,77.400574,2024-04-22 17:00:00
"Shrivastav Colony, Damoh, India",50,50.0,36.0,,2.4,,4.4,23.81748678,79.446246,2024-01-22 16:00:00
"Bhopal Chauraha, Dewas, India",97,97.0,55.0,28.4,4.7,15.0,5.4,22.9682591,76.064118,2024-04-22 17:00:00
"Phool Bagh, Gwalior, India",74,74.0,32.0,,1.6,6.5,8.9,26.210536,78.171,2024-04-22 17:00:00
"Marhatal, Jabalpur, India",74,74.0,45.0,36.3,8.6,5.2,4.2,23.168606,79.932247,2024-04-22 17:00:00
"Shasthri Nagar, Ratlam, India",57,151.0,57.0,,5.7,15.6,,23.331731,75.045981,2024-04-22 17:00:00
"Deen Dayal Nagar, Sagar, India",54,54.0,53.0,,8.5,4.8,10.8,23.8640158,78.80289321,2024-04-22 17:00:00
"Bandhavgar Colony, Satna, India",90,90.0,45.0,3.3,12.4,1.6,6.7,24.58434363,80.8549414,2024-04-22 17:00:00
"Mahakaleshwar Temple, Ujjain, India",75,75.0,65.0,43.7,2.7,8.2,9.6,23.182719,75.768218,2024-04-22 17:00:00
"Gurdeo Nagar, Aurangabad, India",57,57.0,35.0,17.5,2.0,1.1,5.1,24.75746,84.366208,2024-04-22 17:00:00
"MIDC Khutala, Chandrapur, India",90,90.0,70.0,33.0,17.5,9.3,5.9,19.9775302,79.2337086,2024-04-22 17:00:00
"Malayer, Hamadan, Iran (ملایر همدان)",56,56.0,,,35.0,7.0,9.0,34.2875011,48.787992,2024-04-22 16:00:00
"Khadakpada, Kalyan, India",85,60.0,85.0,8.3,10.8,10.4,3.0,19.25292,73.142019,2024-04-22 17:00:00
"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",61,61.0,,,,,,19.072830200195,72.882606506348,2024-04-22 11:00:00
"Opp GPO Civil Lines, Nagpur, India",110,110.0,37.0,16.4,8.0,4.6,4.3,21.152875,79.0517531,2024-04-22 17:00:00
"Gangapur Road, Nashik, India",107,107.0,60.0,18.0,3.6,3.3,8.3,20.0073285,73.7762427,2024-04-22 17:00:00
"Shivajinagar, Pune, Pune, India",232,232.0,138.0,61.0,198.0,,51.0,18.529603,73.849586,2021-11-15 06:00:00
"Solapur, Solapur, India",119,119.0,85.0,,19.8,46.3,,17.6599188,75.9063906,2024-04-22 17:00:00
"Pimpleshwar Mandir, Dombivali, Thane, India",60,,60.0,17.3,8.6,10.5,10.8,19.192056,72.9585188,2024-04-22 17:00:00
"Khadakpada, Kalyan, India",85,60.0,85.0,8.3,10.8,10.4,3.0,19.25292,73.142019,2024-04-22 17:00:00
"DM College of Science, Imphal, India",59,59.0,41.0,18.9,2.7,41.6,1.3,24.8207389,93.9423085,2024-04-22 17:00:00
"Lumpyngngad, Shillong, India",98,98.0,40.0,0.2,0.5,16.5,2.2,25.5586,91.8985,2024-04-22 17:00:00
"Sikulpuikawn, Aizawl, India",76,66.0,76.0,1.5,0.9,1.1,3.7,23.7176342,92.7192841,2024-04-22 17:00:00
"PWD Juction, Kohima, India",152,152.0,71.0,19.5,1.3,13.5,2.4,25.6635413,94.0989878,2024-04-22 17:00:00
"Mons, Belgium",5,5.0,3.0,,,,,50.4651921586212,3.93971432591091,2024-04-22 12:00:00
"Jawahar Nagar, Puducherry, India",10,5.0,10.0,9.1,0.8,2.5,4.3,11.9309,79.8027,2024-04-22 17:00:00
"Jawahar Nagar, Puducherry, India",10,5.0,10.0,9.1,0.8,2.5,4.3,11.9309,79.8027,2024-04-22 17:00:00
"Golden Temple, Amritsar, India",125,125.0,61.0,17.6,7.6,6.3,4.7,31.62,74.876512,2024-04-22 17:00:00
"Sector 22, Chandigarh, India",90,90.0,55.0,64.1,8.4,2.4,6.3,30.735567,76.775714,2024-04-22 17:00:00
"Civil Line, Jalandhar, India",96,96.0,58.0,11.7,13.0,3.7,4.7,31.321907,75.578914,2024-04-22 17:00:00
"Punjab Agricultural University, Ludhiana, India",114,114.0,61.0,21.5,7.5,4.6,3.0,30.9028,75.8086,2024-04-22 17:00:00
"Model Town, Patiala, India",92,92.0,56.0,44.1,8.5,3.7,4.2,30.349388,76.366642,2024-04-22 17:00:00
"Ratanpura, Rupnagar, India",81,81.0,41.0,,,4.5,5.7,31.0325454,76.5623046,2024-04-22 17:00:00
"Civil Lines, Ajmer, India",70,70.0,57.0,38.3,5.4,5.2,5.8,26.470859,74.646594,2024-04-22 17:00:00
"Moti Doongri, Alwar, India",76,76.0,45.0,15.2,11.5,10.1,7.0,27.554793,76.611536,2024-04-22 17:00:00
"Tulle centre, France",38,,4.0,37.8,1.0,,,45.262666665757,1.76283333333,2024-04-22 14:00:00
"Police Commissionerate, Jaipur, India",102,102.0,44.0,36.6,8.3,5.1,8.0,26.9164092,75.7994901,2024-04-22 17:00:00
"Collectorate, Jodhpur, India",85,64.0,85.0,36.4,10.0,1.2,9.9,26.268249,73.0193853,2024-04-22 17:00:00
"Shrinath Puram, Kota, India",82,82.0,52.0,25.6,4.8,2.9,3.0,25.14389,75.821256,2024-04-22 13:00:00
"Indira Colony Vistar, Pali, India",106,106.0,80.0,27.6,8.8,3.9,12.0,25.771061,73.340227,2024-04-22 17:00:00
"Ashok Nagar, Udaipur, India",86,86.0,41.0,22.3,10.6,4.4,2.7,24.5886166,73.6321397,2024-04-22 17:00:00
"Zero Point GICI, Gangtok, India",62,62.0,61.0,23.9,1.0,5.0,3.2,27.33853,88.614099,2024-04-22 17:00:00
"Chennai US Consulate, Chennai, India (चेन्नई अमेरिकी वाणिज्य दूतावास)",61,61.0,,,,,,13.087840080261,80.278472900391,2024-04-22 17:00:00
"PSG College of Arts and Science, Coimbatore, India",2,,,1.6,0.6,,,11.0328,77.0349,2024-04-22 01:00:00
"Mendonsa Colony, Dindigul, India",61,61.0,41.0,1.0,0.1,17.0,4.2,10.358535,77.984321,2023-07-25 10:00:00
"Chalai Bazaar, Ramanathapuram, India",57,57.0,39.0,5.8,0.1,3.9,1.3,9.36399,78.831977,2024-04-22 15:00:00
"Salem, Oregon, USA",15,15.0,,,,,,44.943114,-123.005934,2024-04-22 04:00:00
"Kumaran College, Tirupur, India",46,28.0,46.0,2.7,12.4,9.7,8.5,11.0973603,77.3228673,2024-04-22 17:00:00
"Meelavittan, Thoothukudi, India",98,,98.0,0.4,12.6,11.6,2.4,8.816428,78.099039,2024-04-22 17:00:00
"Bombay Castel, Ooty, India",52,52.0,20.0,2.4,2.3,5.2,3.3,11.4068288,76.7138973,2024-04-22 17:00:00
"Hyderabad US Consulate, India (हैदराबाद अमेरिकी वाणिज्य दूतावास)",117,117.0,,,,,,17.384050369263,78.456359863281,2024-04-22 14:00:00
"IITH Kandi, Hyderabad, India",87,87.0,53.0,21.4,3.0,2.9,2.1,17.585705,78.126199,2024-04-22 15:00:00
"Bardowali, Agartala, India",128,128.0,88.0,11.8,2.9,12.4,4.1,23.8175497,91.2726974,2024-04-22 17:00:00
"Sanjay Palace, Agra, India",83,25.0,83.0,18.6,9.4,3.2,,27.19865833,78.00598056,2024-04-22 17:00:00
"Rajendra Nagar, Bareilly, India",36,32.0,36.0,7.3,0.7,18.0,0.1,28.38910936,79.42963708,2024-04-22 17:00:00
"Yamunapuram, Bulandshahr, India",55,53.0,55.0,47.4,8.6,3.2,3.8,28.406963,77.849831,2024-04-22 17:00:00
"Sanjay Nagar, Ghaziabad, India",51,48.0,51.0,48.8,12.0,6.1,4.7,28.685382,77.453839,2024-04-22 17:00:00
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",72,72.0,52.0,24.5,0.7,15.7,1.8,26.730136,83.433859,2024-04-22 17:00:00
"Shivaji Nagar, Jhansi, India",63,63.0,28.0,11.7,1.4,5.7,1.5,25.4547,78.6039,2024-04-22 17:00:00
"FTI Kidwai Nagar, Kanpur, India",69,69.0,59.0,1.5,4.3,10.0,5.0,26.428282,80.327067,2024-04-22 17:00:00
"B R Ambedkar University, Lucknow, India",96,96.0,60.0,30.6,4.3,13.4,3.7,26.766433,80.927299,2024-04-22 17:00:00
"Omex Eternity, Vrindavan, India",132,42.0,132.0,12.2,1.0,17.3,4.2,27.571409,77.655757,2024-04-22 17:00:00
"Pallavpuram Phase 2, Meerut, India",52,48.0,52.0,34.0,10.4,6.7,2.3,29.06351,77.709723,2024-04-22 17:00:00
"Jigar Colony, Moradabad, India",48,38.0,48.0,24.0,6.6,4.0,3.9,28.856664,78.772638,2024-04-22 17:00:00
"New Mandi, Muzaffarnagar, India",87,87.0,68.0,36.9,7.1,3.1,5.2,29.4723508,77.7194031,2024-04-22 17:00:00
"Maldahiya, Varanasi, India",32,32.0,14.0,7.0,0.6,11.1,1.4,25.32393,82.99687,2024-04-22 17:00:00
"Doon University, Dehradun, India",93,93.0,59.0,53.9,0.3,1.2,1.8,30.269444,78.044167,2024-04-22 17:00:00
"Flag Pole, Woodstock School, Mussoorie, India, India",-,,,,,,,30.455449,78.100618,
"Asansol Court Area, Asansol, India",165,165.0,92.0,11.7,13.2,7.1,8.0,23.685297,86.945968,2024-04-22 17:00:00
"Ghusuri, Howrah, India",168,168.0,94.0,6.9,6.1,2.2,5.3,22.611968,88.347422,2024-04-22 16:00:00
"Rabindra Bharati University, Kolkata, India",112,112.0,54.0,36.8,15.0,1.8,6.3,22.627847,88.380669,2024-04-22 17:00:00
"Bidhannagar, Kolkata, India",132,132.0,81.0,47.8,13.6,5.2,5.4,22.58157048,88.41002457,2024-04-22 17:00:00
"Sidhu Kanhu Indoor Stadium, Durgapur, India",167,167.0,105.0,21.2,16.1,22.7,6.0,23.5404352,87.2892225,2024-04-22 17:00:00
"Victoria, Kolkata, India",131,131.0,82.0,29.5,2.8,5.5,13.5,22.5448082,88.3403691,2024-04-22 17:00:00
"Rabindra Bharati University, Kolkata, India",112,112.0,54.0,36.8,15.0,1.8,6.3,22.627847,88.380669,2024-04-22 17:00:00
"Kolkata US Consulate, India (कोलकाता अमेरिकी वाणिज्य दूतावास)",142,142.0,,,,,,22.562629699707,88.363037109375,2024-04-22 17:00:00
"Rabindra Bharati University, Kolkata, India",112,112.0,54.0,36.8,15.0,1.8,6.3,22.627847,88.380669,2024-04-22 17:00:00
"Ward-32 Bapupara, Siliguri, India",108,108.0,85.0,21.6,10.0,2.9,4.7,26.6883049,88.412668,2024-04-22 17:00:00
"Gulzarpet, Anantapur, India",121,121.0,81.0,9.6,4.7,4.2,5.7,14.675886,77.593027,2024-05-03 09:00:00
"Anand Kala Kshetram, Rajamahendravaram, India",19,5.0,19.0,6.5,1.1,4.7,5.8,16.9872867,81.7363176,2024-05-01 05:00:00
"Tirumala-APPCB, Tirupati, India",89,89.0,53.0,12.5,7.0,1.8,7.9,13.67,79.35,2024-05-03 09:00:00
"PWD Grounds, Vijayawada, India",-,52.0,,5.1,0.7,4.9,4.2,16.507014,80.627767,2020-11-19 16:00:00
"Naharlagun, Naharlagun, India",62,62.0,26.0,1.0,1.1,1.7,1.9,27.103358,93.679645,2024-05-03 09:00:00
"Pan Bazaar, Guwahati, India",177,69.0,177.0,6.9,0.2,18.1,3.8,26.1875,91.744194,2024-05-03 09:00:00
"D M Colony, Bihar Sharif, India",121,121.0,76.0,10.3,3.6,5.6,12.0,25.204762,85.51496,2024-05-03 09:00:00
"New DM Office, Arrah, India",95,95.0,90.0,5.3,1.1,3.3,1.5,25.5626095,84.663264,2024-05-02 11:00:00
"DRCC Anandpur, Begusarai, India",262,262.0,152.0,1.6,34.0,6.8,2.1,25.444266,86.140169,2023-12-22 18:00:00
"Kamalnath Nagar, Bettiah, India",195,195.0,154.0,5.3,10.3,6.6,11.4,26.80365,84.51954,2024-05-03 08:00:00
"DM Office_Kachari Chowk, Bhagalpur, India",169,168.0,169.0,13.2,31.9,6.6,5.1,25.251013,86.989001,2024-05-03 08:00:00
"D M Colony, Bihar Sharif, India",121,121.0,76.0,10.3,3.6,5.6,12.0,25.204762,85.51496,2024-05-03 09:00:00
"SFTI Kusdihra, Gaya, India",172,172.0,77.0,4.6,14.8,6.6,4.3,24.762518,84.982348,2024-05-03 09:00:00
"Central Jail, Buxar, India",241,241.0,147.0,8.2,1.6,1.5,6.0,25.555605,83.950942,2022-12-01 17:00:00
"Darshan Nagar, Chhapra, India",179,179.0,141.0,2.0,11.7,5.6,11.7,25.7808257,84.7446768,2024-05-03 09:00:00
"Town Hall - Lal Bagh, Darbhanga, India",192,192.0,170.0,21.6,1.6,10.1,4.8,26.15146,85.89342,2023-01-14 13:00:00
"Collectorate, Gaya, India",161,161.0,,27.5,0.8,6.6,5.8,24.7955,84.9994,2024-05-03 09:00:00
"Industrial Area, Hajipur, India",267,163.0,267.0,7.5,0.5,3.6,9.9,25.697189,85.2459,2024-05-03 09:00:00
"Town Hall, Munger, India",166,166.0,109.0,16.5,1.8,9.9,8.7,25.376776,86.471523,2024-05-03 09:00:00
"Mirchaibari, Katihar, India",80,80.0,113.0,6.3,9.2,8.9,11.0,25.560083,87.553265,2024-05-03 09:00:00
"Gandak Colony, Motihari, India",-,139.0,63.0,54.7,16.0,4.2,5.6,26.63086,84.90051,2024-05-02 17:00:00
"Town Hall, Munger, India",166,166.0,109.0,16.5,1.8,9.9,8.7,25.376776,86.471523,2024-05-03 09:00:00
"Buddha Colony, Muzaffarpur, India",204,204.0,182.0,10.8,11.0,8.5,7.8,26.11442,85.39813,2024-05-03 09:00:00
"IGSC Planetarium Complex, Patna, India",202,202.0,,16.8,4.1,2.1,2.3,25.6103665,85.1327137,2024-05-03 09:00:00
"Police Line, Saharsa, India",93,173.0,93.0,15.6,2.5,6.7,9.9,25.892357,86.590325,2024-05-03 09:00:00
"DM Office_Kasipur, Samastipur, India",157,157.0,88.0,11.7,8.8,4.1,4.0,25.859655,85.77944,2024-05-03 07:00:00
"Chitragupta Nagar, Siwan, India",197,197.0,123.0,60.2,8.8,13.6,26.2,26.2271665,84.3570427,2024-05-03 09:00:00
"Sector 22, Chandigarh, India",151,151.0,97.0,41.8,10.7,5.6,7.5,30.735567,76.775714,2024-05-03 09:00:00
"Sector 22, Chandigarh, India",151,151.0,97.0,41.8,10.7,5.6,7.5,30.735567,76.775714,2024-05-03 09:00:00
"Civic Center, Bhilai, India",66,66.0,53.0,16.3,4.6,3.9,7.0,21.185571,81.343175,2024-05-03 09:00:00
"Mangala, Bilaspur, India",137,137.0,63.0,,3.7,8.7,7.2,22.08815,82.13737,2024-05-03 09:00:00
"Civic Center, Bhilai, India",66,66.0,53.0,16.3,4.6,3.9,7.0,21.185571,81.343175,2024-05-03 09:00:00
"Doon University, Dehradun, India",156,156.0,123.0,38.8,2.1,1.5,6.0,30.269444,78.044167,2024-05-03 09:00:00
"Phase-1 GIDC, Vapi, India",125,125.0,74.0,0.2,2.5,21.9,,20.362421,72.918013,2024-05-03 09:00:00
"Phase-1 GIDC, Vapi, India",125,125.0,74.0,0.2,2.5,21.9,,20.362421,72.918013,2024-05-03 09:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",317,317.0,,,,,,28.63576,77.22445,2024-05-03 09:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",317,317.0,,,,,,28.63576,77.22445,2024-05-03 09:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",317,317.0,,,,,,28.63576,77.22445,2024-05-03 09:00:00
"Maninagar, Ahmedabad, India",84,84.0,73.0,14.3,12.3,6.0,15.2,23.002657,72.591912,2024-05-03 09:00:00
"GIDC, Ankleshwar, India",122,122.0,67.0,10.9,13.1,6.8,14.3,21.613267,73.010555,2024-05-03 09:00:00
"GIFT City, Gandhinagar, India",11,,,6.4,4.2,3.7,10.6,23.163798,72.677768,2024-05-03 09:00:00
"13 Lenin street, Oha, Russia (ул.Ленина, д.13)",10,10.0,4.0,5.2,0.7,,4.3,53.58904,142.94797,2022-01-12 05:00:00
"Patti Mehar, Ambala, India",92,92.0,89.0,14.5,1.4,10.6,11.0,30.379589,76.778328,2024-05-03 09:00:00
"H.B. Colony, Bhiwani, India",196,196.0,114.0,10.0,3.2,5.2,7.5,28.806223,76.141105,2024-05-03 09:00:00
