aqi_tplus1
104.0
108.0
90.0
45.0
92.0
141.0
57.0
86.0
68.0
155.0
92.0
85.0
10.0
43.0
30.0
37.0
13.0
14.0
38.0
81.0
31.0
38.0
147.0
52.0
58.0
59.0
28.0
90.0
54.0
63.0
105.0
179.0
23.0
114.0
107.0
37.0
69.0
107.0
29.0
52.0
54.0
62.0
58.0
44.0
62.0
20.0
62.0
40.0
24.0
54.0
70.0
78.0
33.0
55.0
135.0
87.0
116.0
155.0
83.0
43.0
61.0
112.0
177.0
54.0
56.0
66.0
41.0
83.0
76.0
67.0
54.0
20.0
108.0
65.0
55.0
48.0
110.0
23.0
81.0
117.0
92.0
61.0
24.0
72.0
84.0
34.0
61.0
98.0
52.0
30.0
74.0
21.0
18.0
80.0
40.0
51.0
49.0
43.0
155.0
164.0
172.0
127.0
106.0
28.0
64.0
186.0
57.0
147.0
59.0
8.0
69.0
89.0
51.0
74.0
11.0
13.0
51.0
68.0
108.0
81.0
22.0
73.0
87.0
23.0
77.0
59.0
54.0
102.0
35.0
73.0
81.0
105.0
28.0
18.0
61.0
36.0
171.0
51.0
43.0
43.0
14.0
58.0
54.0
55.0
63.0
72.0
22.0
124.0
41.0
69.0
136.0
163.0
25.0
72.0
69.0
25.0
76.0
51.0
55.0
17.0
54.0
70.0
34.0
30.0
38.0
57.0
53.0
91.0
52.0
24.0
83.0
59.0
129.0
78.0
118.0
43.0
81.0
48.0
37.0
33.0
33.0
89.0
29.0
18.0
40.0
45.0
32.0
35.0
80.0
74.0
75.0
30.0
199.0
112.0
92.0
37.0
134.0
57.0
58.0
26.0
