timestamp,latitude,longitude,pm25_ugm3,co_ppm,no2_ppb,so2_ppb,o3_ppb,temperature_c,relative_humidity,wind_speed_ms,wind_direction_deg,aqi_value
2024-05-01 10:00:00,29.5364,75.0158,122.0,10.7,3.5,1.8,40.4,25.68,29.32,4.8,319.9,122
2024-05-01 09:00:00,29.0272,77.0621,58.0,2.1,13.8,5.4,8.2,26.82,24.12,5.72,306.5,64
2024-05-01 10:00:00,22.08815,82.13737,133.0,6.0,4.7,8.8,,35.35,19.68,4.36,254.6,133
2024-05-01 04:00:00,51.547479,7.693785,75.0,,8.7,,5.7,18.29,80.73,3.38,101.9,75
2024-03-04 09:00:00,34.066206,74.81982,58.0,4.0,4.6,4.8,5.6,-7.61,76.15,2.4,120.3,58
2024-04-30 18:00:00,23.707909,86.41467,,4.7,6.1,14.0,14.1,36.51,20.88,5.84,280.9,-
2024-05-01 10:00:00,12.938539,77.5901,83.0,4.3,4.2,1.6,,32.19,40.26,2.18,180.9,83
2024-05-01 09:00:00,15.888653,74.541751,60.0,10.1,1.7,3.4,8.0,29.21,55.87,3.76,267.4,60
2024-05-01 10:00:00,13.328028,75.797056,71.0,2.0,9.5,1.0,18.4,28.58,66.15,2.18,259.0,71
2024-05-01 10:00:00,14.4758,75.9052,78.0,,,,,31.47,56.27,4.59,264.3,70
2024-04-30 22:00:00,13.008556,76.125258,112.0,4.9,4.5,10.7,1.5,30.86,42.88,2.24,206.6,112
2024-05-01 10:00:00,17.321993,76.822628,153.0,8.1,4.6,10.2,20.1,36.2,20.83,4.02,299.1,153
2024-05-01 08:00:00,13.1276288,78.1570122,106.0,1.0,9.0,3.5,5.7,32.58,43.35,2.96,169.8,106
2024-05-01 10:00:00,12.415911,75.73505,74.0,10.3,0.8,1.7,13.2,29.2,67.23,1.76,266.3,74
2024-05-01 09:00:00,12.88925,74.853,121.0,6.4,2.1,6.9,12.5,30.67,69.39,2.38,267.7,121
2024-04-30 13:00:00,16.208139,77.348417,61.0,20.6,17.9,41.3,1.9,36.11,23.41,2.07,148.1,61
2024-05-01 10:00:00,13.94,75.555917,75.0,3.5,4.7,2.4,26.8,30.33,61.28,3.86,259.3,75
2024-05-01 10:00:00,16.802639,75.722694,64.0,17.4,6.9,157.2,6.2,34.88,26.61,5.13,287.6,64
2024-05-01 10:00:00,11.875,75.3732,131.0,6.5,2.2,0.2,13.7,29.63,70.22,1.97,274.2,131
2024-05-01 12:00:00,33.5489621,133.5987948,17.0,,2.8,1.5,25.6,16.05,84.34,6.36,14.6,17
