model,feature,importance
LinearRegression,latitude,-0.17953800602754422
LinearRegression,longitude,-0.06069786562225454
LinearRegression,pm25_ugm3,39.299351959252185
LinearRegression,co_ppm,-0.16826811372112882
LinearRegression,no2_ppb,0.9281841342422861
LinearRegression,so2_ppb,0.14220432828155577
LinearRegression,o3_ppb,0.255455876435847
LinearRegression,temperature_c,2.0390198222294726
LinearRegression,relative_humidity,0.7233998757143085
LinearRegression,wind_speed_ms,-0.8206531323172352
LinearRegression,wind_direction_deg,-0.02014142192516566
LinearRegression,calibration_factor,0.4135435766517901
LinearRegression,pm25_ugm3_lag1,-0.2138432474617469
LinearRegression,pm25_ugm3_lag1,-0.21384324746174044
LinearRegression,pm25_ugm3_lag3,-0.02486022405101662
LinearRegression,pm25_ugm3_lag3,-0.024860224051009183
LinearRegression,pm25_ugm3_lag6,0.07340430206749193
LinearRegression,pm25_ugm3_lag6,0.0734043020675097
LinearRegression,pm25_ugm3_lag24,0.060192269037363744
LinearRegression,pm25_ugm3_lag24,0.06019226903735242
LinearRegression,co_ppm_lag1,-0.08623856907492233
LinearRegression,co_ppm_lag1,-0.08623856907494254
LinearRegression,co_ppm_lag3,-0.07540813384621775
LinearRegression,co_ppm_lag3,-0.07540813384624195
LinearRegression,co_ppm_lag6,-0.1444890885548205
LinearRegression,co_ppm_lag6,-0.14448908855481135
LinearRegression,co_ppm_lag24,-0.06173539019836183
LinearRegression,co_ppm_lag24,-0.06173539019835739
LinearRegression,no2_ppb_lag1,0.1576698948343832
LinearRegression,no2_ppb_lag1,0.15766989483438532
LinearRegression,no2_ppb_lag3,0.108879321896862
LinearRegression,no2_ppb_lag3,0.10887932189683802
LinearRegression,no2_ppb_lag6,-0.13746446398347967
LinearRegression,no2_ppb_lag6,-0.1374644639834952
LinearRegression,no2_ppb_lag24,-0.04077245976306454
LinearRegression,no2_ppb_lag24,-0.04077245976303434
LinearRegression,so2_ppb_lag1,-0.023045104954367623
LinearRegression,so2_ppb_lag1,-0.023045104954360962
LinearRegression,so2_ppb_lag3,0.07576414957096889
LinearRegression,so2_ppb_lag3,0.0757641495709569
LinearRegression,so2_ppb_lag6,0.13106382979839104
LinearRegression,so2_ppb_lag6,0.13106382979840758
LinearRegression,so2_ppb_lag24,-0.06965868609313586
LinearRegression,so2_ppb_lag24,-0.06965868609314807
LinearRegression,o3_ppb_lag1,0.060005703074200945
LinearRegression,o3_ppb_lag1,0.06000570307418496
LinearRegression,o3_ppb_lag3,0.06826155766715836
LinearRegression,o3_ppb_lag3,0.06826155766717656
LinearRegression,o3_ppb_lag6,-0.09170626957786077
LinearRegression,o3_ppb_lag6,-0.09170626957784878
LinearRegression,o3_ppb_lag24,-0.001580749432640749
LinearRegression,o3_ppb_lag24,-0.0015807494326467442
LinearRegression,temperature_c_lag1,-0.09443289798979104
LinearRegression,temperature_c_lag1,-0.09443289798978816
LinearRegression,temperature_c_lag3,0.004131877882727508
LinearRegression,temperature_c_lag3,0.004131877882698948
LinearRegression,temperature_c_lag6,-0.01728351644611159
LinearRegression,temperature_c_lag6,-0.01728351644611248
LinearRegression,temperature_c_lag24,0.0458770689635033
LinearRegression,temperature_c_lag24,0.04587706896350019
LinearRegression,relative_humidity_lag1,0.05223467154249306
LinearRegression,relative_humidity_lag1,0.05223467154249262
LinearRegression,relative_humidity_lag3,-0.15855737179355334
LinearRegression,relative_humidity_lag3,-0.15855737179355023
LinearRegression,relative_humidity_lag6,0.0015303212605390915
LinearRegression,relative_humidity_lag6,0.0015303212605408678
LinearRegression,relative_humidity_lag24,-0.03526038248580288
LinearRegression,relative_humidity_lag24,-0.035260382485800545
LinearRegression,wind_speed_ms_lag1,0.06712215287413786
LinearRegression,wind_speed_ms_lag1,0.0671221528741352
LinearRegression,wind_speed_ms_lag3,0.00353043275134457
LinearRegression,wind_speed_ms_lag3,0.003530432751344126
LinearRegression,wind_speed_ms_lag6,0.06557073539437774
LinearRegression,wind_speed_ms_lag6,0.06557073539438063
LinearRegression,wind_speed_ms_lag24,0.12065746531422222
LinearRegression,wind_speed_ms_lag24,0.12065746531422428
LinearRegression,wind_direction_deg_lag1,0.04243898094983467
LinearRegression,wind_direction_deg_lag1,0.042438980949830896
LinearRegression,wind_direction_deg_lag3,-0.06496984560298369
LinearRegression,wind_direction_deg_lag3,-0.06496984560298502
LinearRegression,wind_direction_deg_lag6,-0.08520811205475787
LinearRegression,wind_direction_deg_lag6,-0.08520811205475742
LinearRegression,wind_direction_deg_lag24,0.013036855606986864
LinearRegression,wind_direction_deg_lag24,0.013036855606984532
LinearRegression,pm25_ugm3_rollmean_3,0.22234805542679137
LinearRegression,pm25_ugm3_rollmean_3,0.22234805542679048
LinearRegression,pm25_ugm3_rollmean_6,0.00404403899667205
LinearRegression,pm25_ugm3_rollmean_6,0.004044038996665833
LinearRegression,pm25_ugm3_rollmean_24,-0.09074159285733652
LinearRegression,pm25_ugm3_rollmean_24,-0.0907415928573374
LinearRegression,co_ppm_rollmean_3,-0.0846682508029355
LinearRegression,co_ppm_rollmean_3,-0.08466825080293527
LinearRegression,co_ppm_rollmean_6,0.11133485599428639
LinearRegression,co_ppm_rollmean_6,0.11133485599428328
LinearRegression,co_ppm_rollmean_24,-0.10489196009874613
LinearRegression,co_ppm_rollmean_24,-0.10489196009873014
LinearRegression,no2_ppb_rollmean_3,0.22430324667100088
LinearRegression,no2_ppb_rollmean_3,0.2243032466710062
LinearRegression,no2_ppb_rollmean_6,-0.11468290632634481
LinearRegression,no2_ppb_rollmean_6,-0.11468290632633948
LinearRegression,no2_ppb_rollmean_24,-0.03796751377619989
LinearRegression,no2_ppb_rollmean_24,-0.037967513776194284
LinearRegression,so2_ppb_rollmean_3,0.11599345641672176
