model,r2_test,rmse_test,cv_r2_mean,cv_r2_std
Lasso,0.04202180579491632,38.414287609794435,0.06438182674369838,0.021321997805785125
LinearRegression,0.041950285756928385,38.4157215359785,0.06333606750865262,0.021570872983821435
Ridge,0.041950080885140295,38.41572564343609,0.06335398408291845,0.021560798214697564
SVR_rbf,0.040645013394610685,38.4418819279953,0.01994428782843318,0.004069732375740088
GradientBoosting,-0.08472728632658444,40.876646031449916,0.06260607270963252,0.02226740998282371
RandomForest,-0.10498191415729208,41.25651661596424,0.06336063398203946,0.02396741063300729
KNeighbors,-0.11731439838266544,41.48610569800924,-0.041600529692994506,0.03487932507593554
MLP,-0.11767769297443076,41.49284975004869,-0.03539689584749204,0.01607918223805483
AdaBoost,-0.7334813410922683,51.67429467767528,-0.22562348610792338,0.06760366685111369
